breed,coat,key_facts,size,shedding,tags,description,playfulness,vocality,activeness,docility,friendliness,grooming,hardiness,health,indepedence,intelligence,lifespan_low,lifespan_high,need_for_att
Russian Blue,Short,"Requires an outdoor enclosure, Needs little grooming, Patient with children and other animals",Medium,4,"Sociable, Intelligent, Friendly, Playful",Russian cats are reserved with strangers until they have fully assessed them.,3,1,3,4,3,2,4,4,4,4,15,20,3
Balinese,Long,"Happiest in pairs, Suited to indoor and outdoor life, Needs little grooming",Medium,3,"Loyal, Loving, Sociable, Vocal, Lively, Intelligent, Active, Playful","Balinese cats are extremely affectionate and make wonderful, entertaining and totally dominating pets.",5,5,4,1,4,2,2,2,1,5,18,22,5
Siberian,Semi-long,"Suited to indoor and outdoor life, Needs a lot of grooming, Happiest in pairs",Medium,4,"Lively, Intelligent, Playful, Affectionate","Despite their size, Siberian cats are quite agile and like to jump to high places.",4,2,3,3,4,2,5,4,3,4,11,15,3
Singapura,Short,"Needs moderate grooming, Best suited to indoor life, Requires a lot of attention",Small,2,"Confident, Playful, Intelligent, Friendly, Sociable","3.75kg at their largest, the Singapura is the smallest recognised breed of cat.",5,2,4,1,4,1,2,4,3,4,,,5
Khao Manee,Short,"Needs moderate grooming, Best suited to indoor life, Good with people",Medium,,"Sociable, Active, Vocal, Playful",The name Khao Manee translates to “white gem” in their native Thailand.,,,,,,,,,,,10,12,
Cornish Rex,Rex,"Needs moderate grooming, Requires an outdoor enclosure, Needs a lot of exercise",Medium,2,"Active, Playful, Sociable, Vocal, Affectionate","The Cornish Rex is a loving, sociable cat who is known to remain playful even into old age.",5,1,5,1,4,1,2,3,2,4,12,16,5
European Burmese,Short,,Medium,2,,,5,,,,5,0,,1,,5,,,
Cymric,Long,"Needs moderate grooming, Suited to indoor and outdoor life, Needs a lot of exercise",Medium,4,"Calm, Sociable, Even-tempered, Affectionate",The Cymric's unique build and strong back legs make them incredibly skilled at jumping.,3,2,3,4,4,3,1,3,3,4,8,14,3
Abyssinian,Short,"Needs little grooming, Requires a lot of attention, Suited to indoor and outdoor life",Medium,3,"Sociable, Active, Loyal, Vocal, Loving",A busy cat who wants to take part in all the household activities.,5,1,5,1,4,2,2,2,3,4,12,16,4
Australian Mist,Short,"Needs little grooming, Suited to indoor and outdoor life, Patient with children and other animals",Medium,,"Sociable, Adaptable, Quiet",The Australian Mist is one of the only cat breeds that could go into any type of household.,,,,,,,,,,,,,
British Longhair,Long,"Needs a lot of grooming, Suited to indoor and outdoor life, Patient with children and other animals",Medium,,"Calm, Sociable, Quiet, Friendly, Even-tempered","These cats have a friendly, balanced and peaceful character which means they get along well with the whole household.",,,,,,,,,,,15,17,
British Shorthair,Short,"Needs moderate grooming, Suited to indoor and outdoor life, Low maintenance",Medium,3,"Loyal, Affectionate, Quiet, Intelligent",The British Shorthair is known to be the inspiration for the Cheshire Cat in Lewis Carroll’s “Alice in Wonderland”.,3,2,2,4,4,2,3,4,4,4,14,20,1
