,Address,latitude,longitude
0,"8402 Mayview Drive Austin, Texas",30.2998731,-97.6244907
1,"7201 Levander Loop Austin, Texas",30.2527847,-97.6904186
2,"5411 Overbrook Dr Austin, Texas",30.3014622,-97.6830242
3,"11912 Jones Road Austin, Texas",30.2255749,-97.8038878
4,"Briar Creek Loop And Great Valley Dr Austin, Texas",30.3243993,-97.5292707
5,"11410 Jim Thorte Austin, Texas",30.1522049,-97.8406838
6,"8407 Coulver Rd Austin, Texas",30.1173239,-97.7266788
7,"7920 Old Lockhart Austin, Texas",30.0587472,-97.7044007
8,"West Anderson Lane And Shoal Creek Blvd Austin, Texas",30.3609725,-97.74088309999999
9,"1009 Brass Street Austin, Texas",30.2643141,-97.70393179999999
10,"3017 Ih 35 Austin, Texas",30.2260247,-97.74434389999999
11,"22208 Ann Showers Austin, Texas",30.271325,-97.4663029
12,"7131 Oak Hollow Dr Austin, Texas",30.37146389999999,-97.705423
13,"403 E Ben White Blvd Austin, Texas",30.2198188,-97.76100339999999
14,"1001 Collinwood West Drive Austin, Texas",30.3697917,-97.6748198
15,"1050Bastrop Hwy Ne Austin, Texas",30.229066,-97.681179
16,"183 And Lake Creek Pkwy Austin, Texas",30.4607344,-97.7972644
17,"7601 Daffan Lane Austin, Texas",30.3160645,-97.62482969999999
18,"1930 West Rundberg Austin, Texas",30.3737164,-97.71756959999999
19,"15232 N Interstate Hwy 35 Austin, Texas",30.4468167,-97.66801530000001
20,"15004 Chamberlaint Court Austin, Texas",30.2538353,-97.57959609999999
21,"8416 Sassman Road Austin, Texas",30.1357199,-97.7150455
22,"16401 Parkway Drive Austin, Texas",30.2829713,-97.7544112
23,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
24,"Braker Ln Austin, Texas",30.3903915,-97.7152524
25,"Lareina St And Garnett St Austin, Texas",30.2185687,-97.7702774
26,"Georgian Dr (Near Ahs) Austin, Texas",30.360886,-97.6933747
27,"1001 Tayside Drive Austin, Texas",30.4133295,-97.64707609999999
28,"11825 Savanna Canyon Austin, Texas",30.1602342,-97.64169389999999
29,"4505 Sherwyn Dr Austin, Texas",30.2809332,-97.6619533
30,"3111 Parker Lane Austin, Texas",30.22451,-97.74210699999999
31,"811 West Slaughter Lane Austin, Texas",30.1703989,-97.80429409999999
32,"Bolm And Shady Ln Austin, Texas",30.259782,-97.6933244
33,"5800 Techni Center Dr Austin, Texas",30.2787646,-97.67184759999999
34,"6266 Hwy 290 W Austin, Texas",30.3213724,-97.6943011
35,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
36,"5607 Apple Orchard Lane Austin, Texas",30.1986136,-97.72785809999999
37,"William Cannon And South 1St Austin, Texas",30.1971751,-97.7877664
38,"9329 Northgate Bld Austin, Texas",30.3732431,-97.7142182
39,"1401 Cometa St Austin, Texas",30.2806944,-97.6896817
40,"844 Airport Blvd Austin, Texas",30.2584131,-97.6938377
41,"Salt Springs And Tupelo Drive Austin, Texas",30.1627674,-97.743318
42,"6003 Caroline Ln Austin, Texas",30.2583016,-97.5736845
43,"51St And Manor Rd Austin, Texas",30.2981358,-97.6870582
44,"6937 North Ih35 Austin, Texas",30.331041,-97.7040339
45,"11913 Elfcroft Dr Austin, Texas",30.3961684,-97.6908691
46,"1707 Raven Austin, Texas",30.3263551,-97.68382989999999
47,"8300 N Ih 35 Austin, Texas",30.3460048,-97.6971094
48,"Pflugerville (TX) Austin, Texas",30.4548451,-97.6222665
49,"5703 Imperial Dr Austin, Texas",30.2770152,-97.62052949999999
50,"Berkman And Glen Crest Austin, Texas",30.316956,-97.69078499999999
51,"17832 Violet Lane Austin, Texas",30.267153,-97.7430608
52,"5017 West Highway 290 Austin, Texas",30.2320669,-97.8230076
53,"19804 Grover Cleveland Way Austin, Texas",30.35433,-97.5060486
54,"6802 Dubuque Lane Austin, Texas",30.3139959,-97.670135
55,"4501 East Riverside Drive Austin, Texas",30.2315817,-97.7223212
56,"10625 N Lamar Blvd Austin, Texas",30.3754255,-97.6893637
